year,disaster_type,country,iso,latitude,longitude,total_deaths,total_damages
2011,Flood,Bolivia,BOL,-16.4659,-65.6,52,20000
2011,Flood,China,CHN,27.0633,108.11,6,54130
2011,Flood,China,CHN,27.89,14.47,467,6400000
2011,Flood,Colombia,COL,5.69,-74.15,138,1030000
2011,Earthquake,China,CHN,24.727,97.957,25,290000
2011,Earthquake,Spain,ESP,37.699,-1.672,10,200000
2011,Flood,India,IND,22.306,88.34,47,275000
2011,Flood,Philippines,PHL,125.091,259.63,16,280
2011,Storm,Mexico,MEX,22.11,-98.75,22,70000
2011,Earthquake,Japan,JPN,38.297,142.373,19846,210000000
2011,Flood,Sri Lanka,LKA,7.60326,81.25,47,200000
2011,Flood,Philippines,PHL,9.40044,125.78,23,12411
2011,Flood,Philippines,PHL,8.306,125.21,12,10666
2011,Flood,Thailand,THA,8.666,99.28,64,317000
2011,Flood,Thailand,THA,17.038,102.82,813,40000000
2011,Storm,USA,USA,40.186,-70.06,46,7300000
2011,Flood,Kazakhstan,KAZ,51.448,53.67,2,67000
2011,Flood,Sri Lanka,LKA,8.513,80.53,18,300000
2011,Earthquake,Myanmar,MMR,20.687,99.822,74,3600
2011,Flood,Namibia,NAM,-18.188,20.64,108,12000
2011,Earthquake,New Zealand,NZL,-43.583,172.68,181,15000000
2011,Flood,Pakistan,PAK,25.012,69.07,509,2500000
2011,Flood,Philippines,PHL,7.39811,126.05,31,251
2011,Flood,Saudi Arabia,SAU,21.3521,39.94,11,300000
2011,Earthquake,Turkey,TUR,39.149,29.103,3,244000
2011,Flood,Colombia,COL,4.64,-73.94,135,1290000
2011,Flood,South Africa,ZAF,-31.055,28.41,40,211000
2011,Flood,Algeria,DZA,29.565,1.7,10,779000
2011,Earthquake,Indonesia,IDN,2.965,97.893,10,5850
2011,Flood,India,IND,20.651,86,239,930000
2012,Flood,China,CHN,33.4553,106.94,91,1200000
2012,Flood,Fiji,FJI,-17.784,178.08,10,17000
2012,Flood,Georgia,GEO,42.0681,44.52,5,3000
2012,Flood,India,IND,30.1135,78.85,30,110000
